"Activity" "Subject" "NA"
"WALKING_DOWNSTAIRS" "17" 0.29391828326087
"WALKING_DOWNSTAIRS" "18" 0.288439468909091
"WALKING_DOWNSTAIRS" "19" 0.262688053871795
"WALKING_DOWNSTAIRS" "20" 0.296144421355556
"WALKING_DOWNSTAIRS" "21" 0.3014610196
"WALKING_DOWNSTAIRS" "22" 0.284458963861111
"WALKING_DOWNSTAIRS" "23" 0.289897411148148
"WALKING_DOWNSTAIRS" "24" 0.288631208909091
"WALKING_DOWNSTAIRS" "25" 0.291329666206897
"WALKING_DOWNSTAIRS" "26" 0.2792845828
"WALKING_DOWNSTAIRS" "27" 0.2975441875
"WALKING_DOWNSTAIRS" "28" 0.293642076521739
"WALKING_DOWNSTAIRS" "29" 0.293140441083333
"WALKING_DOWNSTAIRS" "30" 0.283190646967742
"SITTING" "1" 0.261237565425532
"SITTING" "2" 0.27708735173913
"SITTING" "3" 0.257197599134615
"SITTING" "4" 0.27153827992
"SITTING" "5" 0.273694139545455
"SITTING" "6" 0.276778487454545
"SITTING" "7" 0.284674637291667
"SITTING" "8" 0.267491472934783
"SITTING" "9" 0.24832674354
"SITTING" "10" 0.270612056481481
"SITTING" "11" 0.276590197358491
"SITTING" "12" 0.275007224901961
"SITTING" "13" 0.274328499591837
"SITTING" "14" 0.279990577037037
"SITTING" "15" 0.27290337979661
"SITTING" "16" 0.280768574492754
"SITTING" "17" 0.2773570196875
"SITTING" "18" 0.27727001877193
"SITTING" "19" 0.273830316164384
"SITTING" "20" 0.278045439090909
"SITTING" "21" 0.277539616823529
"SITTING" "22" 0.273583822709677
"SITTING" "23" 0.273351251617647
"SITTING" "24" 0.273475690147059
"SITTING" "25" 0.278541482461538
"SITTING" "26" 0.258243530166667
"SITTING" "27" 0.273941302571429
"SITTING" "28" 0.276977629444444
"SITTING" "29" 0.2771799775
"SITTING" "30" 0.268336081379032
"STANDING" "1" 0.278917629056604
"STANDING" "2" 0.277911472222222
"STANDING" "3" 0.280046513278689
"STANDING" "4" 0.280499745892857
"STANDING" "5" 0.282544390892857
"STANDING" "6" 0.280346248596491
"STANDING" "7" 0.282723539433962
"STANDING" "8" 0.279620986111111
"STANDING" "9" 0.282310057333333
"STANDING" "10" 0.276650300681818
"STANDING" "11" 0.277715562765957
"STANDING" "12" 0.277405834918033
"STANDING" "13" 0.277758431052632
"STANDING" "14" 0.280545613833333
"STANDING" "15" 0.278915803962264
"STANDING" "16" 0.283497402948718
"STANDING" "17" 0.277942503333333
"STANDING" "18" 0.278458805890411
"STANDING" "19" 0.27817226
"STANDING" "20" 0.278076904657534
"STANDING" "21" 0.27695224258427
"STANDING" "22" 0.279053861587302
"STANDING" "23" 0.277899323235294
"STANDING" "24" 0.280348883913043
"STANDING" "25" 0.278013701621622
"STANDING" "26" 0.281127035405405
"STANDING" "27" 0.279566921625
"STANDING" "28" 0.277795069113924
"STANDING" "29" 0.277965065846154
"STANDING" "30" 0.277112699152542
"LAYING" "1" 0.22159824394
"LAYING" "2" 0.281373403958333
"LAYING" "3" 0.275516852741935
"LAYING" "4" 0.263559214981481
"LAYING" "5" 0.278334325576923
"LAYING" "6" 0.248656520140351
"LAYING" "7" 0.250176694038462
"LAYING" "8" 0.261254282907407
"LAYING" "9" 0.2591955368
"LAYING" "10" 0.280230574137931
"LAYING" "11" 0.280592970877193
"LAYING" "12" 0.260113433
"LAYING" "13" 0.276716360483871
"LAYING" "14" 0.233275439803922
"LAYING" "15" 0.2894756525
"LAYING" "16" 0.274227162571429
"LAYING" "17" 0.269780085577465
"LAYING" "18" 0.274691576923077
"LAYING" "19" 0.272653733493976
"LAYING" "20" 0.239507882205882
"LAYING" "21" 0.271325472455556
"LAYING" "22" 0.279959721194444
"LAYING" "23" 0.274038007986111
"LAYING" "24" 0.272850494930556
"LAYING" "25" 0.250791828613699
"LAYING" "26" 0.271645864540789
"LAYING" "27" 0.274102492432432
"LAYING" "28" 0.2759134825
"LAYING" "29" 0.287295196811594
"LAYING" "30" 0.281033900571429
